,User,Date,Score,Review
0,JustGoblinV,"Nov 18, 2020",0,"It blows my mind that people are praising this game. Buggy as all get out and their servers are terrible. This is a BILLION $ publisher and a studio that has been making games since 1996. I understand they had to ""pick up slack"" from the other studio but my god what they released is just so bad and uncompetitive it pains me that I even wasted time trying to like it. Controller aim assist is actually better than some aim bots (aim bots use skeletal tracking and usually don't compromise for bullet velocity or player direction, whereas this aim assist does) and nobody talks about it because the majority like to feel like they are skilled players when it's really just the game. With no input-based matchmaking, turning off crossplay doesn't matter because everyone still uses controller. Snipers are slow but incredibly broken, no flinch, glint is hard to see, movement speed is fast, and they one shot ""chest level"" or if you're on controller - foot level and it will magnetize to the chest. The campaign was dull and felt like a Michael Bay movie, all action no story. Zombie. Pretty good, but that's it. One map with a 30min easter egg and bosses that are more annoying than intimidating. Hackers are back. Turning off crossplay to try actually playing against some M&K players I ran into hacker after hacker, blatantly aimbotting."
1,Unselles,"Nov 16, 2020",3,"This is honestly one of the worst Call of Duty games and a huge downgrade from 2019 Modern Warfare. I expected much more from Treyarch than this lazy cash-grab. It's like any other Call of Duty there is, no innovation, nothing. The only things this game does better than MW2019 is the objective play and in-game statistics, also move to scorestreaks. Campaign isn't too bad, it's just very generic gameplay wise.The weapon/character animations are janky and some look straight up horrible. Graphics are also pretty mediocre and downgraded, same for player movement and the maps. There is no more parkour, it's all very basic level design. The in-game camos are a joke, it's like from 2011. I know people say that the game is ""old-school"", but we don't live in 2011 anymore, people should higher standards than this."
2,Krisskan,"Nov 15, 2020",0,"My focus is on the multiplayer, it's awful. Honestly, The maps are a mess, they feel unbalanced and uninteresting. Can't bloody navigate an area without getting screwed by the spawn system. The guns are alright, but man do they lack variety. 5 assault rifles, 3 pistols, 2 launchers, 2 shotguns, etc. What the hell. That why the progression is slow as **** This game has been rushed, there is no point in denying that. It speaks for itself. Don't buy this, you are not missing anything worth experiencing."
3,Tranceholic,"Nov 15, 2020",0,"The game is utter SH*T , a step back from modern warfare in every mode , maps are horrible!  clearly the game was rushed AF"
4,Therien,"May 30, 2021",0,"Stay away if you are on PC. This game so rigged in favour of controller players you wanna kill yourself after 2 hours, and the campaign is boring AF."
5,MaxFlame,"May  8, 2021",0,Aimbot cheaters are everywhere in this game. For 20$ a month you are a champion in CoD. Activision doesn't care. All they want is your money for the skins.
6,Dullakhan,"Apr 11, 2021",2,I bought the game a few days ago so here's my take:Cold War is a decent game instead of another cod this year The Devs should focus on what would please the fans e.g taking out skill-based matchmaking and more weapons.
7,bam420,"Apr  8, 2021",0,"Shït ass trash ass game. All style, no substance. Maps suck. Sound design sucks. They even managed to ruin Hardcore mode. "
8,PaulLee,"Apr 24, 2021",3,"I can’t see s**t in most of the map. It's also really annoying to spawn within a bombing range or where people are fighting. And the most important balance in multiplayer is really the worst. It's one of the worst multiplayer games I've ever played. I don't know if I'm playing this game just to use a submachine gun, or if I'm playing this game with a smoke screen to catch the enemy behind the smoke screen with a thermal imaging scope. This game is wrong from the ground up. Everything from the engine that makes up the game to the gun balance must be reconfigured. Of course, the single player campaign was well made.  But that's it.Call of Duty: SMG Warfare"
9,alucard420,"May  6, 2021",0,"This game is an insult to the black ops franchise. Just like modern warfare, Its a mess. Please don't spent 60$ on this. R.I.P Call of Duty......"
