,User,Date,Score,Review
0,Elite_Reviews,"Nov 22, 2020",2,"Like so many others have already stated, this remake doesn't live up to original, not even close. They took great Japanese game and had no idea what to do with it. Conclusion : They made boring boss simulator. I had to buy it to try it, but i can say that after playing it i wouldn't even buy it for 30 dollars, just giving honest advice! Specially in rough year like 2020, when many don't have lots of money, it's wise to think what to buy and i wouldn't recommend this one. It gets boring quickly and add almost nothing to original. I would advise buying something that is actually fun and has lots of content like Assassin' Creed Valhalla or Cyberpunk 2077!"
1,SorrownoMore,"Nov 22, 2020",2,"Strong doubt that any real souls fan will like this, personally i feel empty after playing this.Nothing stood out, yeah some bosses were okay, but overall it's just meh. I would give it way higher score if it was like 30 dollars, but 70 is just too much for this. Overall i didn't like it.I don't regret buying PS5, because i have so many other games to play, but i regret buying this game."
2,dreamof-,"Nov 22, 2020",1,I didn't enjoy Demon's Souls Remake at all. Something felt off with it. Almost like there was no passion behind this project. Some boss re-designs looked worse than original and overall it didn't do enough new things to justify this remake. PS: I have played original multiple times.
3,Bloodborne233,"Nov 22, 2020",1,"Hopeless attempt to remake something that never needed a remake. Any other game would have been better choice, specially something older, pre 2007. I actually got really sad while playing it, because i was really hoping that it's something special, but it wasn't, it really wasn't. 60fps made everything smoother and that's about it. Not recommending."
4,imjusthonest,"Nov 22, 2020",1,"Where this deep, almost scary atmosphere from the first game? If you gonna remake a classic, you have to either make it better or at least same level. This on looks way too clean. I could mistake it for any indie game honestly. 70 dollars for 60fps. Welcome to 2020."
5,XfighterX,"Nov 22, 2020",1,"I'll be completely honest, i'm not impressed. As a longtime souls fan i was actually confused why even remake it? Original is perfectly fine, but i was like ""fine, i will try it"". Even tho it's 60fps, it doesn't feel ""extremely smooth"". It just doesn't add enough to justify this remake compared to other high quality remakes."
6,Ddraig,"Nov 21, 2020",0,Not worth £70...Only buy this game if you are a hardcore souls fan otherwise you will be hugely disappointed. There’s much better launch titles to get on the ps5 such as spiderman.
7,Powerless,"Nov 22, 2020",1,"Unusually bad remake from Sony. I was expecting something revolutionary for PS5 launch game, because this was supposed to be reason to buy PS5 in 2020, even tho i bought it anyway but for other games. But Demon's Souls remake was just waste of money imo, i haven't even finished it and i probably wont. I literally booted up my PS3 to try original again to make sure i wasn't wrong and no i wasn't. Original actually stood out in 2010. This one doesn't stand out even if really tries."
8,lastofreviews,"Nov 22, 2020",2,"Not what i expected! I was ready for some masterful remake, but what i got was average game. Hopefully Resident Evil 4 remake will be good!"
9,Xandl7,"Nov 16, 2020",0,overhyped game for ps5not worth the pricevery overpricedwait for a saleit doesn't worth it
10,SoundoftheSun,"Nov 22, 2020",3,"I'll make this review really short, because i don't have much to say about this one. Graphics - 8 / 10Story - 1 / 10Gameplay - 6 / 10New boss designs VS The Original - 4 / 10Innovations that would justify this remake - 2 / 10Conclusion: 3 / 10"
11,chuydavid,"Nov 23, 2020",0,"It doesn't worth what I spent on it. $80 Euros, no thanks! It's not that good."
12,justishar,"Nov 16, 2020",4,"I'm someone who played and loved DS3 and Bloodborne and was excited to give Demon's Souls a try, never having played it before. It turns out that this game is extremely faithful to the original game, which means that the mechanics of the game are quite dated. I've put about ten hours into it at this point and I don't think I'm going to go any further, because it's just so tedious. The game is pretty easy for the most part, including the regular enemies and bosses. This, unfortunately, leaves the challenging parts to be the things which aren't fun at all, including the maze like levels and distance between the save points and the end of the level.  If you make a mistake, or if the game throws in something like an invisible enemy that inflicts a new status effect that kills you in seconds towards the end of the level, then you get to retrace quite a long trail to get back where you were. Maybe ten years ago, this would have been less of a tough pill to swallow, but in today's day and age, and after having played (and mastered) DS3 and Bloodborne, this type of gameplay just feels tedious to be moreso than fun. I guess I'm back to waiting for Elden Ring."
13,Sundowner1,"Nov 20, 2020",4,"Caught up in the hype train I purchased this one, but I've never played a ""souls"" games before. After spending a few hours on this one I'd say its a hard pass. The difficulty isnt that bad, much like old generation games like Ninja Gaiden or Castlevania. You just need to learn how to play and what the patterns are. Honestly its not fun though, like at all. Generic character, no story, PVP is ridiculously frustrating while learning the game, and its just boring dying over and over on stupid stuff. Save your money for a sale if you must, but this is the most overrated game I've seen in a long time. It is a glorified tech demo, absolutely beautiful but not worth the time."
14,fight387,"Nov 13, 2020",1,Resident Evil 2 team actually tried when making remake of classic. This one just feels soulless cash crab. Wouldn't recommend to anyone.
15,firefades,"Nov 13, 2020",3,"Overall very ""whatever"" remake. Ironically it feels like there's absolutely no SOUL in this game that's supposed to be part of SOULS SERIES. I would say wait for sale, but i would rather more recommend original."
16,lifeline_,"Nov 13, 2020",0,"Only strength over original is 60fps, that's it. Would never recommend this to anyone."
17,fly78,"Nov 13, 2020",2,"In my honest opinion it's not worth it. There's so many other games that actually need remake. This one is perfectly playable on ps3. PS5 starts out super weak, spiderman dlc and remake of not that old game? Come on. I have killed two bosses so far and it's just same. I have original as well and i rather play that."
18,enter77,"Nov 13, 2020",1,Weak remake with awful fake marketing. Disgusting. I would absolutely never recommend this game to anyone.
