,User,Date,Score,Review
0,Littlebenny44,"Feb  8, 2021",10,"All in all, from a gameplay standpoint it's one of the best SP FPS games ever, and a clear improvement over Doom 2016 in all of the ways that matter most. There's really not much else like this in the modern market. In an age in which arena shooters and movement based shooters are dying and the market is overwhelmingly shifting towards slower, less intense genres like tactical shooters and Battle Royales, it's nice to know that a game like this can still be made and find success. I'll get sappy for a second and say this: Thank you, id Software. You're the only AAA developer that still cares about the things I value in a shooter."
1,Duc012,"Mar 25, 2021",10,"Simply the best FPS ever made. I literally have nothing to add. Music's amazing too, of course."
2,WildBunch90,"Feb  7, 2021",10,Great game demons shoot at you. You shoot them back with pew pew and rip the guts.
3,Garliceater8932,"Feb  7, 2021",10,"They are rage, brutal, without mercy. But you. You will be worse. Rip and tear, until it is done."
4,Helloborther25,"Feb  7, 2021",10,"Doom as usual getting better every year. What it was good now with Eternal is even better, extremely violent, basically all the demons from Hell trying to kill you no matter what all sorts of demons."
5,Slipinjimmy907,"Feb  7, 2021",10,"The game is beautiful bloody, gore, the main gameplay is long and wonderful!It has 1 DLC The Ancient Gods which is separated in 2 parts, Part 1 you'll play this year and the second half you'll get it in 2021."
6,REAPER007,"Feb 16, 2021",10,"DOOM Eternal is the BEST thing that happened with industry and anyone who says different is just a low skill ""Call of Duty"" boy with arms growing out of the 5-th spot. Its really funny to read some reviews on Steam cause all I see is: ""colourfull LGBT interface"" and ""too hard to play on the hardest difficulty"", which again convinces me that people like sh*t and would rather prefer a piece of untested, unotimized and glitchy code (like ""Cyberpuke 2077"").Devs did best imrovements that one could imagine. Eternal is superfast - dash is probably the most incredible thing that a shooter of this lvl actually needed (also monkeybars and trampolines). Add to this an awesome shooting strategy (chainsaw for ammo, glorykill - health, flamebelch - armor) and freaking SICK sound by Mick Gordon - Eternal has EVERYTHING a true fan of shooters need.Best shooter of all time, to my modest opinion."
7,Hoodpants43,"Mar 23, 2021",10,"If ""Smooth as butter"" were made into a game. ♥♥♥♥♥♥♥ crazy what they pulled off here."
8,Werewolf27,"Mar 30, 2021",10,"Про новый DOOM хочется писать исключительно КАПСОМ. В нём хоть и чувствуется преемственность по отношению к игре 2016 года, но это совершенно другая игра. ДЕЙСТВИТЕЛЬНО НОВАЯ. Да, она развивает многие идеи прошлой части, но идеи эти зашли так далеко, словно геймплей прибыл с другой планеты — скажем, с Марса."
9,Biggame3,"Feb  7, 2021",10,Doom Guy looks like he has a helping serving of beans daily and kill poopy demons.
10,Zoicher_x3,"Feb 16, 2021",10,"Когда в 2016 году вышел старый дум, я был шокирован тем, насколько он хорош. Эта новая гибель даже лучше."
11,Nosauce77,"Feb  8, 2021",10,"Doom Eternal is a bestseller, I think the game needs no introduction.Everything is at the highest level here: the gameplay, optimization, graphics is quite good, but probably could be better."
12,Hadaltom_2543,"Feb 15, 2021",10,"Worth completing. If the blood, guts, bangin' soundtrack, evil atmosphere, and general badassness that gets your testies all amped with testosterone induced euphoria"
13,KellioxLoden875,"Feb 17, 2021",10,"There is really no need for introduction here - Doom is THE shooter that aims to keep you on your toes from start to finish. Filled with beautifully crafted level designs, incredibly detailed enemies and astonishing soundtrack, I think every fan of the FPS genre should play this game, or at least this franchise."
14,DavidMusk101,"Feb 15, 2021",10,"Doom Eternal es el mejor juego de disparos en primera persona que he jugado desde el F.E.A.R original, de hecho, puede que me guste aún más debido al valor de repetición que siento que obtendré de este juego."
15,Bigguygaming88,"Feb 15, 2021",10,"Fantastic sequel that builds upon the last one and makes it twice as good. Brutal, challenging, rewarding and satisfying."
16,Acidoic,"Feb 16, 2021",9,"Insane, just play the gamehard difficulty to increase your sanity and reach new highs."
17,Phengophobia0,"Feb 16, 2021",10,This game is amazing even though I suck at it. Remember to dodge **** chainsaw fodder enemies and git gud.
18,Ibidemskydr5423,"Feb 16, 2021",10,"Doom Eternal is the best ""Gameplay"" game. It knows its story is dumb but its fun and the fact that a guy literally too angry to die is Bhopping around killing demons is is top tier."
19,CoefSurrey773,"Feb 16, 2021",10,The gameplay is next level and its definitely one of my favourite games of all time. Also the dlc is amazing and well worth the price and the optimization is really good.
20,Rimplebeep16,"Feb 16, 2021",10,Nice step up from Doom 2016 in terms of gameplay. It takes a while to get used to the new mechanics of dashing around and being very mobile but once you do it's about the most fun you can have in a singleplayer FPS. Many QoL improvements to help you find all the secrets. One of the few FPS games I fully enjoyed.
21,Hbombzilophism5,"Feb 17, 2021",10,Very smooth gameplay mechanics and good performance optimization. The Slayer's time is now.. Rip and tear until it's done.
22,Cacogeese,"Jan 21, 2021",10,I haven't had this much fun in a single player FPS since playing through the original DOOM and Quake games even with mods.
23,Rangler53890,"Feb  7, 2021",10,The game's main idea appears to be always to keep moving and is an action title that features a crazy amount of weapon and weak points to exploit in your enemies. There is a lot of detail to appreciate in its gameplay and is one of the best first-person shooters.
24,QueenJames6,"Feb  8, 2021",10,Just came back after last May when they did the stupid Denuvo Anti-cheat update. This is a good game and I recommend you play it.
25,Churdly892,"Feb  8, 2021",10,"The game openly plays better than DOOM 2016 in every way. The game's feel gains some and loses some over Doom 2016, but from a purely gameplay perspective its just incredible. If you love shooters, you love this. Nuf said."
26,Smeltdeltit007,"Feb  8, 2021",10,"the series went from:1 & 2 Dooms - simple atmosphere and shooting in 3D environment, where it was revolutionary at that time.Doom 3 - corridor horror jumpy kinda game.Doom 4 (2016) - rebooting and implementing new techs, but with flaws, many directions and short.Doom 5 (Eternal) - figured out its own direction and went full on with it, which why it's going to take some time to get used to the new system."
27,Bobberman322,"Feb  8, 2021",10,"Если вы фанат DOOM, ПОКУПАЙТЕ ЭТО !. Если вы не фанат DOOM, вы обязательно в нее сыграете;) поэтому ПОКУПАЙТЕ ЭТО!"
28,Romanlarper4,"Feb  8, 2021",10,"В DOOM Eternal есть не только потрясающая боевая система и искусственный интеллект, но и определенные элементы решения головоломок, а также мучительные, подпитываемые адреналином бои, которые, несомненно, избавят вас от любого стресса и заставят вас жаждать большего количества крови и смелости."
29,Beergut40,"Feb  9, 2021",10,Sick game whole hell. Combat is insanely fun and fast. Like Quake and Unreal tournament. Rate 10/10.
30,Lapina356,"Feb  9, 2021",10,"Doom Eternal, наверное, один из самых интересных шутеров от первого лица, в которые я играл за долгое время. В этой игре так много всего, что действительно сработало для меня, с секретами, оружием и тем, как весело исследовать области. В эту игру приятно играть от начала до конца, и я просто хотел большего. На мой взгляд, Doom Eternal намного лучше Doom 2016, потому что здесь все намного лучше."
31,Mrkrabs9263,"Feb  9, 2021",10,"it's DOOM, if you are into action packed fps games this is definitely a game to get."
32,Themoistone9,"Feb  9, 2021",10,Badass game with kickass soundtrack. The game grabs you by the nutsack and never lets go.
33,Mosx100,"Feb 10, 2021",10,Lots of action and demon killing.Few crashes and enemy bugs.Where's the horde mode?
34,Roxsand9,"Feb 10, 2021",10,The game basically makes you feel like an ABSOLUTE BEAST ripping and tearing every ♥♥♥♥♥♥♥ thing.
35,Forhead493,"Feb 10, 2021",10,"The satisfaction you get from the kills is immeasurable.And the cutscenes,oh man don't even get me started.You should see when normies encounter The Doomslayer.I play DOOM before workouts for Adrenaline boost,and listen to its Soundtrack during the workout."
36,Fartsniffer9341,"Feb 10, 2021",10,Good Level DesignDecent StorylineReally Good Voice ActingHigh ReplayabilitySatisfactory GameplayBADASS Soundtrack(Thanks to Mick Gordon)
37,Thegoat666,"Feb 10, 2021",10,"Kickass game. Each special demon has a certain weakness, You gather different BADASS weapons as you move on with the missions. You can pick different runes/skills according to your playstyle which is just great."
38,DeadTake26,"Feb 13, 2021",10,At this point if you don't like this game you are just objectively wrong and should go and play Fortnite or some other game meant for three year old's
39,Grugbrain7,"Feb 15, 2021",10,"It is polished, fresh and fun. The game play is the best I've seen in the genre."
40,Joelswole55,"Feb 15, 2021",10,"The game's mechanics are fascinating and put your reasoning and exploration skills to the test. The graphics are top notch and it's really well made though I did have two CTDs. Other than that, I didn't have any other technical issues of any importance. It was entertaining, fun to play and the story was good enough that it held my interest to the end. If you're a fan of the genre, you should enjoy Doom Eternal. 10/10."
41,Doomergloomer8,"Feb 15, 2021",10,Graphics are absolutely stunning along with the layout of the levels. Game is very very fun.
42,Bitcoinshill90,"Feb 15, 2021",10,"Badass game. The amount of gore in this game is also quite amazing, as glory kills are very grotesque in the best way possible. You can easily see which demons you have attacked beforehand, as GIB mechanics make it possible to see the chunks of demon you have blown to bits."
43,Desperadoguy6,"Feb 15, 2021",10,"Should've gotten game of the year 2020. Amazing, powerful, great soundtrack, and the gameplay is phenomenal"
44,Kurgande206,"Feb 15, 2021",10,Things I never thought I'd say about Doom: I did a ton of reading and enjoyed every bit of it. This game is awesome.
45,Dittovile86,"Feb 16, 2021",10,Best singleplayer first fps and best game music! Rip and tear until it is done!
