,User,Date,Score,Review
0,ThePrecursorJak,"Aug 21, 2021",10,"Ghost of Tsushima is one of the best samurai games of all time, a captivating world filled with an exceeding amount of things to do, while implementing an engaging, memorable combat system."
1,jilval678,"Aug 21, 2021",0,"I wish it was a Remastered version. So at least there was a better graphic for it. maybe even better Artificial intelligence and less bugs. But this ""Director's cut"" doesn't worth to re buy. The Iki Island is Okay . But just if you're upgrading the game. Not for full price."
2,leandroxk,"Aug 21, 2021",10,"Wonderful game, expansion and dualsense features are great!it was great to revisit the game with these new features"
3,Sandeeps009,"Aug 21, 2021",10,This is the best way to play the game absolutely loving iki island and the added features and graphical improvements along with the Japanese lip sync make this game totally worth it
4,Hypershotz,"Aug 21, 2021",10,"Directors Cut is the best version of the game and well worth the asking price, iki island is as stunning as the base game! New discoveries, New tales and challenges. Suckerpunch done an amazing job with this game and gonna get even better once rival's releases 10/10"
5,sergiopunky27,"Aug 21, 2021",10,"Metacritic, you guys need to have a regulation with the review bombing, this is ridiculous"
6,DinaSousa,"Aug 21, 2021",10,I can't believe how content they is for $20.00. This game is totally worth every penny.
7,Soco9135,"Aug 21, 2021",0,"Really guys, nothing new to this game? You selll as GOT as a new game for 70 USD and bring things like lypsync who nobody cares about with almost none graphical improvements? Give me a break"
8,lDlMethoDl,"Aug 22, 2021",3,Don't see any expressive improviment that justified the expensive cost. Own the game por ps4 and to play it on ps5 have to pratically buy it again.
9,MetaPlayer6969,"Aug 21, 2021",10,This is true next gen version 4K native at 60fps with 3D audio and DualSense support !The DLC is giving you 17hours of fresh New contentGhost of Tsushima get awesome direction artistic ! It's a must play
10,ArnavPs,"Aug 21, 2021",10,Don't listen to all these negative reviews here they're just xbox fanboys who can't play the game....some of them are so damn stupid
11,Stefanobed,"Aug 21, 2021",10,"Another masterpiece exclusive sony, amazing journey in feudal japan, great gameplay amazing graphics, PlayStation n1"
12,TheReal_Truth_,"Aug 22, 2021",0,Weak dlc and super over priced. It looks exactly the same as PS4 version and this game was never anything special anyway.
13,The_reason,"Aug 22, 2021",0,"Boring, empty game. Graphics look outdated even for 2020. Not recommending this at full price."
14,iZac,"Aug 22, 2021",0,excellent $10 from the airvery bad impact on the game industry by increasing the price tag just because you have a new console
15,Liabad425,"Aug 21, 2021",0,the same game somehow getting better metascore by critics ??? nothing is improved ( except for lip sync) every other issues are still there. then how they giving it higher score?? Don't buy it. it's the same game as before
16,Salvadorenorico,"Aug 21, 2021",0,"More of the same, more of the same , more of the same, really... why no focus on gameplay and a bigger territory? I paid 70 USD for an already old game and iki island brings nothing to the table."
17,Justreviews,"Aug 22, 2021",0,I didn't like this game at all. PS4 and PS5 have so much better video games. Not recommending.
18,Kerber,"Aug 22, 2021",0,"So I bought this game for ps4 for 70$ 11 months ago and now to upgrade it to ps5 version I had to pay 30$. This is Sony’s version of Smart Delivery, smart for company, not much for its fans. But hey, This Is For Payers, and now I ended with 100$ game. For additional  30$ I got DLC that is rather short and graphic upgrade is not that visible. Well, this was such unpleasant experience for me that I don’t recommend. There are plenty other games that give upgrades for free and console manufacturers that dont try to squeeze last dime from their fans. My mistake for wasting money on this but try not to repeat it."
19,ivancloud,"Aug 22, 2021",0,"Same Game, less graphics detail, poor content = 80€. This is the greatness of Playstation."
20,yuricloud3,"Aug 22, 2021",4,Falta de carater cobrar 59 reais por uma sincronia labial e remover a antiga da loja. Ta de foder em sony
21,StreetLightss,"Aug 22, 2021",0,Game full of generic quests that are weaker version of Assassin's Creed quests. Hard pass.
22,TheTruthHurts17,"Aug 22, 2021",0,Just horrible how the new ps5 version turns out to be a downgrade from ps4.
23,khalid6m,"Aug 22, 2021",0,"I didn't expect it to be like that The story modeIt was not long and I did not notice any changes in the graphics, however the upgrade is paid I think it was a disappointment for those who bought this add-on"
24,Justicegaming,"Aug 22, 2021",0,"Skip this. Pretty bad game that has awful camera angle. They should put character into center of screen. Also, it's super over priced."
