,User,Date,Score,Review
0,Jack_33,"Nov 13, 2020",3,"Wait for sale, it's extremely short game. I was actually hoping for tons of different villains to fight against. What a letdown."
1,firsthere,"Nov 13, 2020",4,"They could have done so much more with this, sadly it has hardly any memorable boss fights, best thing this game has is costumes, but i'm not buying spider-man game to look at costumes. I want actual content."
2,Digger311,"Nov 13, 2020",0,"Unbelievably boring and short. The main story is 5.5 hours and half of it is filler content. Save your money, this game is not at all worth it."
3,imspeechless,"Nov 13, 2020",3,"They not only ruined Peter Parker's face, they also managed to make this game super boring."
4,alexsno,"Nov 13, 2020",0,"really short, which i normally wouldn't care about but its expensive for being this short."
5,imbetterthanu,"Nov 13, 2020",3,"I prefer 2018 spider-man to this honestly. It's just same city with some snow, boss fights are awful by the way. Not trying to hate, i'm just honest."
6,evyatar,"Nov 14, 2020",0,"they just not pot a full effort in this game, not a good building of characters, boring story. and why all the politics everywhere, let people play quietly"
7,MunirKillerX,"Nov 13, 2020",0,"Está llenísimo de bugs , no cargan texturas y está crasheando mi nueva ps5. Me ha decepcionado este juego, con la ilución que tenía."
8,DefinetheLine,"Nov 13, 2020",2,"New Peter Parker looks awful, i refuse to support this series further unless they change it back or at least make it optional. This one was just short dlc, very disappointing."
9,youxN,"Nov 14, 2020",0,"Extremely short and boring game. It has about 7-8 hrs. of gameplay and 60-70% is boooring non-plot missions where you killing billions enemies from last Spider-Man game. I was hoping for a lot of new bosses and interesting enemies. In this game I was repeatedly fighting Rhino and enemies from last game and only at the end of gameplay I got two not really interesting bosses and one type of new enemies. I don't understand why is this game sells itself by fullprice. It more looks like a DLC with global HUD update. I would recommend buy THIS only if you're a really big fan of first Marvel's Spider-Man game. Don't buy it by fullprice, wait for like 60% discount. I was waiting for an interesting story, at least 4 new bosses, puzzles, couple of new type of enemies but got disappointed. Not recommend at all. Better save your money."
10,TonySandoval,"Nov 13, 2020",0,"el juego es una basura demasiados bugs, malas texturas, muy corta historia, pesimo juego mala optimizacion"
