,User,Date,Score,Review
0,Efesys,"Jul 27, 2019",3,"Oh, let's make your Far Cry New Dawn, the players like it so much when their enemies have a lot of life strips to absorb 3 horns from the machine gun and then when they eat = wrap up micropayments with them that they drown.Bethesda, too, stood in a pose to push through the mobile standards on the PC and the console market, we will not let the brothers buy the witcher and the cyberpunk, do not buy games with the store inside!"
1,markbrak,"Jul 27, 2019",0,"Expected Doom. Got a bad RPG shooter that seems written by committee. Got this game for free with my video card, and I feel ripped off. Worst Wolfenstein game BY FAR. Very Very Bad."
2,PhatMonkey,"Jul 28, 2019",0,I hardly ever leave reviews on Metacritic but I love the Wolfenstein franchise and it has been totally destroyed with this boring RPG annoying trash....
3,Shnnji,"Jul 27, 2019",3,"If you call this game a spin off, you can spin my **** middle finger inside your ass, this game is so **** boring i brought my pal and we abused that cool pep system they implemented trying to speedrun levels just to get hit by lvl barrier, then i just dropped it and went to watch the ending on youtube to be even more dissapointed. if you absolutely hate grinding and lame hp bar rpg system go play previous games, don't waste your time playing this half-assed product. Shooting and level design are good though so i give it a 3."
4,FoeBus,"Jul 28, 2019",1,"This game is a combination of pure misery and lack of total understanding for whole concept of this so far good reboot iof series. It is so dull, that consideration of refund is pretty much clear to anyone who actually played the former titles and at least have some sense for aesthetic side of the game design. The twins, who are supposed to replace BJ in his post of ""bad ass Nazi-killing monster"" are the most annoying thing since the invention of allchat in CoD series. It tries to be funny and gore at the same time and it totally fails. The whole plot is stupid as hell and beside new enemies and better guns, there is hardly anything else to pick up, because every single minute spend in this game is like putting salt in your eyes. I will save some time to all of you who are actually considering buying this game for whatever reason (playing co-op or slaying Nazis), it is DEFINITELY not worth the money."
5,NothingnessEFLC,"Jun 22, 2020",2,"After completing the game, I can say that it's garbage. RPG mechanics ruined the game. It's just not fun anymore. Either you grind or suffer. Storyline is a joke. Main characters are anti-charismatic, boss fight are pathetic and the game ends with a cliffhanger. Please, don't tell me, that Wolfenstein 3 is gonna be about this characters. If so, I am officially stop buying this games.2/10 for graphics and sound design"
6,Xiphiqix,"Jul 26, 2019",0,"Gold Bars as microtransactions, skins for money in single player.  Weapons lack punch, an FPS that feels like a greed grind. This is sheeplestein game in wolfenthesda clothing. If your a fan of the franchise prepare to be disappointed and taken advantage of."
7,visibledark,"Jul 27, 2019",0,"This game could win ""worst designed game 2019"" as well as ""butchered franchise of the decade"". No wonder there was no real marketing for this piece of s***!"
8,nimce,"Jul 27, 2019",0,"What have they done? COOP ONLY in Wolfenstein? (you can play with a bot instead, but it's terrible) no real campaign? micro-transactions?!! Terrible, I wish I could get a refund..."
9,MacheteDontText,"Jul 26, 2019",2,Member how ppl were whining about strong female characters in Kill Bill or Planet Terror? No?? I wonder why...
10,Gardarika,"Jul 28, 2019",0,"Mdaa...It's just a nightmare. Ghostbusters from the world of Wolfenstein............. I really wanted to write a humorous review,but it boiled. I don't understand why the main characters are teenage girls! Is the game such a target audience? I do not want to say that you can not make a shooter about teenagers with interesting characters,but there's just some absurdity. A team of three teenage girls exterminates the Nazis.One(black) teenage girl breaks and breaks all systems to Nazis and a game in every possible way hints that she is VERY CLEVER! SEE ,FROM THE GARBAGE COLLECTING DEVICE IS WIRE! Two sisters( the main characters) behave like children,clapping her hands,constantly joking is inappropriate and stupid,flashy in combat, some u like ""-Eee rock! Herl power! sister,you're so cool! Look! I'm going to smear that Nazi's head! Oh,I have his brains in my mouth! Hahahaha funny!""and of course the army killing Nazis.Do you know how they came to this? If verbatim ""-Pope is gone! Mom's not looking for him! Screw the ancestors! We'll do it ourselves! Ow! We have two exoskeletons in the attic especially for us and a lot of weapons! Screw the ancestors! Let's go kill the Nazis.""I'm serious.There's the early scene where the girls fly away by themselves by helicopter from parents and angry calls from parents to answer, "" Yes mom,I do not care,bye!I'm in France!""What strong and independent teenagers,I just can't! And the Germans are ""- It's only the girls do them! ow! How can you lose to the girls! ""In General, the problem of the narrative that we in a game about mass murder put the standard American story about teenagers who hang out and cool them.And they survive by the way! It's as stupid as if in the beginning life is strange-we played for Dunga in hell to solve their complex emotional problems. And I really don't know WHOMACHINE GAMES COME TO MIND THAT FANS OF THE SERIES WAITING FOR A GAME ABOUT TEENAGE GIRLS WITH THEIR PROBLEMS AND GIRL VESELUSHKI?!"
11,Hieulo,"Jul 27, 2019",3,"Lame storyline, gameplay is easy to get bored after 2hours, shieatty teammate AI."
12,MegamanAT,"Jul 26, 2019",0,"I can't believe what they have done to this series! I was one of those stupid enough to buy it without reading any reviews. I was sure it will be the same like Old Blood, New Order and New Colossus -> Outstanding single player experience with a great story and a nice campaign. You will not get any of it. It's a stupid coop open world loot shooter where you now can upgrade your weapons... Biggest disappointment ever. Be sure to buy in directly on steam to get a chance for a refund. If you liked the previous titles of this series, don't even consider to buy it!"
